model,threshold,test_n,test_positive,test_negative,precision,recall,sensitivity,specificity,f1,auroc,tn,fp,fn,tp
xgboost,0.5750000000000001,3499,648,2851,0.6504739336492891,0.8472222222222222,0.8472222222222222,0.8965275341985268,0.7359249329758714,0.9498621882726876,2556,295,99,549
random_forest,0.675,3499,648,2851,0.6500711237553343,0.7052469135802469,0.7052469135802469,0.9137144861452122,0.6765358993338267,0.9296737986671344,2605,246,191,457
logistic_regression,0.7000000000000002,3499,648,2851,0.5902688860435339,0.7114197530864198,0.7114197530864198,0.8877586811645037,0.6452064380685795,0.9193157263425007,2531,320,187,461
